Compound ID,measured log(solubility:mol/L),SMILES
A-356,0.09119837646433337,CCO
A-385,-0.12649042643823305,[Na+].CNC([S-])=S
A-441,0.12451232513333998,[Br-].CCCC[N+](CCCC)(CCCC)CCCC
A-452,-0.35236342862412,Nc1cnn(CCO)c1N.O[S](O)(=O)=O
A-453,-0.43068780286457986,[Na+].[Na+].[O-][S](=O)(=O)c1cccc(c1)[S]([O-])(=O)=O
A-477,-0.2039292899649563,OCC(O)C(O)C(O)CO
A-504,-0.07227804996322569,OC\C=C/CO
A-523,0.010042923053032032,[H+].[NH4+].[F-].[F-]
A-607,0.036140047148979795,[NH4+].[I-]
A-616,-0.2695391225819039,NC(N)=O.O[P](O)(O)=O
A-617,-0.018706985435393363,NC(N)=O
A-657,-0.23835508251012016,CO[Si](C)(OC)C=C
A-659,-0.21313624678722526,NC(=O)c1cccnc1
A-719,0.16190885294196916,N
A-960,-0.053368001730693726,COC
A-962,-0.9077589165728532,[Ba++].[O-]P=O.[O-]P=O
A-975,-0.5322374843839659,[Co++].CC([O-])=O.CC([O-])=O
A-989,-0.5409887480479445,[Cl-].C[N+](C)(C)c1ccccc1
A-1490,0.1992924890352418,COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC
A-1533,0.015848814876231607,OC(O)C(Cl)(Cl)Cl
A-1558,0.03253658375472797,[Na+].[I-]
A-1688,-0.029084952500706085,[K+].[I-]
A-1720,-0.732217516518387,COC(=O)OC
A-1729,-1.123304700918326,NO[S](O)(=O)=O
A-1784,-0.17985018783511386,N.[Fe+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
A-1833,-1.440785281973167,CC(C)NC(C)C
A-1863,-0.8196040286229146,CCOC=O
A-1884,0.0054828434437280416,NCc1occc1
A-1885,-7.35504370530206e-05,OCC(F)(F)F
A-1886,-0.2763017406248603,C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1
A-1887,-0.12264909087358203,CCOCCOCCOC(C)=O
A-1890,-0.1902899319807204,CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C
A-1892,0.019186594290059863,OCCCCO
