Compound ID,measured log(solubility:mol/L),SMILES
538813,-1.9964190908298327,CCCCCCCCCCCCCCCCCCCC(=O)OCCO
538813,-1.6967991842301131,CCCCCCCCCCCCCCCCCCCC(=O)OCCO
538813,-1.4768238594555132,CCCCCCCCCCCCCCCCCCCC(=O)OCCO
538813,-1.0790636728136729,CCCCCCCCCCCCCCCCCCCC(=O)OCCO
538813,-0.6321111138572452,CCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-2.767539969453911,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-2.4692248420863785,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-2.294695099598497,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-1.929625086694265,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-1.821081239161633,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
18769590,-0.6573614584964483,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
6849,-0.3131383158575335,O=[N+]([O-])c1cccc2ccccc12
1983,-0.0406858149763315,CC(=O)Nc1ccc(O)cc1
1983,-0.0067242551672805,CC(=O)Nc1ccc(O)cc1
1983,0.0493754886369184,CC(=O)Nc1ccc(O)cc1
1983,0.0828699003594825,CC(=O)Nc1ccc(O)cc1
1983,0.1042419873918237,CC(=O)Nc1ccc(O)cc1
9794126,-0.629968598353204,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1
9794126,-0.5741635881528437,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1
9794126,-0.5364480323527364,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1
9794126,-0.3624266564871015,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1
9794126,-0.1683276898862639,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1
54690031,-3.654352301733323,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
68081,-1.342421263291304,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-1.1875994319674923,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-1.0407904773030656,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.9026012578159384,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.7695258285946608,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.6435218019492455,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.5210728698823401,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.4088372368081853,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
68081,-0.2921333832056332,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
1110,-0.1942356479999381,O=C(O)CCC(=O)O
1110,-0.1407052590620623,O=C(O)CCC(=O)O
1110,-0.1199337127699065,O=C(O)CCC(=O)O
1110,-0.1051037762930602,O=C(O)CCC(=O)O
1110,-0.0247212151392757,O=C(O)CCC(=O)O
1110,0.0589898273050251,O=C(O)CCC(=O)O
1110,0.1374708599770727,O=C(O)CCC(=O)O
1110,0.2504050670725475,O=C(O)CCC(=O)O
1110,0.3393365143392096,O=C(O)CCC(=O)O
1110,0.420673551325095,O=C(O)CCC(=O)O
1110,0.5086077872656063,O=C(O)CCC(=O)O
1110,0.6031194873740349,O=C(O)CCC(=O)O
442614,-3.273999431693328,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-3.139670409017212,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-3.044002412086805,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.938274916747131,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.8047999187758688,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.718743371761988,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.695407607926529,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.610444427879989,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.475811738301726,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.4164896113710195,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
442614,-2.3503603781737423,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
10972,-1.4105942552888466,CC(=O)NCC(=O)O
10972,-1.3308373432587142,CC(=O)NCC(=O)O
10972,-1.2601152146751244,CC(=O)NCC(=O)O
10972,-1.1997676355569324,CC(=O)NCC(=O)O
10972,-1.1541281686560132,CC(=O)NCC(=O)O
10972,-1.0863693912371546,CC(=O)NCC(=O)O
10972,-1.0161904046555448,CC(=O)NCC(=O)O
10972,-0.9383180174717684,CC(=O)NCC(=O)O
10972,-0.8883005622716446,CC(=O)NCC(=O)O
10972,-0.818433249988207,CC(=O)NCC(=O)O
10972,-0.7560538693883934,CC(=O)NCC(=O)O
5318997,-3.421237459843318,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-3.3510819176993363,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-3.2913424376266365,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-3.252372063587964,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-3.2292543056448,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-3.0123353369642287,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-2.908989542149679,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-2.763653842671607,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
5318997,-2.69681271429625,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1
155794,-0.5952713100175127,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,-0.4770845553427267,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,-0.3586133428091008,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,-0.2421483532961094,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,-0.1345589483844679,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,-0.0382683143157338,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,0.0388087058367852,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,0.1512665412596493,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,0.244268697080888,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,0.3374329681621396,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
155794,0.4380452995376567,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
444305,-0.2399455162490144,O=C(O)[C@H](O)[C@@H](O)C(=O)O
444305,-0.1639570929046473,O=C(O)[C@H](O)[C@@H](O)C(=O)O
444305,-0.0820838308958721,O=C(O)[C@H](O)[C@@H](O)C(=O)O
