Compound ID,measured log(solubility:mol/L),SMILES
mobley_1323538,-7.5,CCOP(=O)(OCC)OCC
mobley_2661134,-9.65,c1cc(cc(c1)O)C#N
mobley_6929123,-4.0,COC(=O)CCl
mobley_3395921,-3.12,C1CCOCC1
mobley_5449201,2.3,CCCCC
mobley_5631798,-4.29,N
mobley_1674094,0.29,CCCCC#C
mobley_9838013,-4.43,CCC(C)(C)O
mobley_1735893,-6.21,CCCCCC(=O)O
mobley_2198613,-0.63,CCCl
mobley_1449384,-0.68,Cc1ccc(cc1)C(C)C
mobley_3682850,-4.91,C1CCC(=O)CC1
mobley_3264884,-7.47,c1ccc2cc(ccc2c1)N
mobley_8614858,2.67,CCCCCCC
mobley_4043987,2.93,CCCCC(C)C
mobley_2864987,-4.39,CCC[C@@H](C)O
mobley_859464,-2.36,CC(C)COC(=O)C
mobley_3053621,-0.9,c1ccccc1
mobley_1352110,-3.64,CCCCN(CC)C(=O)SCCC
mobley_4291494,-4.39,c1ccnc(c1)Cl
mobley_2364370,-2.64,CCCCOC(=O)C
mobley_1893815,-1.43,C(C(Cl)(Cl)Cl)Cl
mobley_5200358,-9.84,CC(C)(/C=N\OC(=O)NC)SC
mobley_9246215,0.93,C=CCC=C
mobley_5110043,-2.63,Cc1ccc2cc(ccc2c1)C
mobley_6190089,-2.37,C(C(Cl)Cl)(Cl)Cl
mobley_6266306,-5.56,C1CNC1
mobley_4219614,-1.34,c1cc(c(c(c1Cl)Cl)Cl)Cl
mobley_9246351,-1.96,C(Br)Br
mobley_8011706,-7.81,CN(C)C=O
mobley_2577969,-4.52,c1cc2ccc3cccc4c3c2c(c1)cc4
mobley_9942801,-0.95,CCc1ccc(cc1)C
mobley_7578802,-2.13,C(Br)(Br)Br
mobley_8861672,-4.86,Cc1ccnc(c1)C
mobley_194273,-9.73,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br
mobley_1244778,-5.48,C1CCCC(CC1)O
mobley_468867,-2.55,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
mobley_8827942,-4.05,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl
mobley_3738859,-0.1,CCCCCBr
mobley_8427539,-9.4,CCC(=O)N
mobley_1107178,-0.74,CCI
mobley_2789243,-4.01,c1cc(cnc1)Cl
mobley_2008055,1.83,CC
mobley_1873346,-0.9,Cc1ccccc1
mobley_7794077,-15.46,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F
mobley_1849020,-6.5,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl
mobley_8798016,-7.0,c1cnccc1C=O
mobley_5157661,2.3,CC(C)C
mobley_6201330,-9.37,CCCOC(=O)c1ccc(cc1)O
mobley_4620651,-4.1,COC(=O)C1CC1
mobley_9717937,-2.69,c1ccc(cc1)c2ccccc2Cl
mobley_6861308,-9.13,CN(C)C(=O)Nc1ccccc1
mobley_4630641,-4.84,COCCOC
mobley_2636578,-4.8,C(CO[N+](=O)[O-])CO[N+](=O)[O-]
mobley_5571660,-5.21,Cc1cccc(c1N)C
mobley_7690440,-1.83,CSSC
mobley_7463799,-6.92,c1ccc(cc1)CCCO
mobley_4479135,-2.78,C=C(c1ccccc1)c2ccccc2
mobley_7176248,-3.25,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
mobley_2295058,-9.51,COC(=O)c1ccc(cc1)O
mobley_819018,-4.45,CC(=CCC/C(=C/CO)/C)C
mobley_1976156,-2.07,CCCCCCCCC=O
mobley_2197088,3.16,CCCCCCCCCC
mobley_627267,-0.03,CC(C)CBr
mobley_7415647,-11.95,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-]
mobley_6812653,2.48,CCCCCC
mobley_5052949,-1.28,CCCSCCC
mobley_3151666,-3.64,CCCCCCCCCCO
mobley_1659169,-7.17,C1COCCN1
mobley_9534740,-25.47,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
mobley_994483,-0.74,CCBr
mobley_1189457,-2.73,CSc1ccccc1
mobley_8260524,-0.48,CC#C
mobley_646007,-5.48,C1CCNC1
mobley_8436428,2.83,CC(C)CC(C)C
mobley_6804509,-1.34,c1c(c(cc(c1Cl)Cl)Cl)Cl
mobley_6843802,-1.29,c1ccc(cc1)O[C@@H](C(F)F)F
mobley_1922649,-7.19,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
mobley_632905,-4.4,CC(=O)c1ccc(cc1)OC
mobley_4039055,-18.17,c1c(c(=O)[nH]c(=O)[nH]1)Br
mobley_4934872,-5.23,CCOC(OCC)Oc1ccccc1
mobley_4683624,-5.21,CCCc1ccc(cc1)O
mobley_6619554,-2.49,CCCCC(=O)OCC
mobley_486214,-6.96,COc1cccc(c1O)OC
mobley_8426916,-4.07,CCNCC
mobley_550662,-4.42,CC(OC)(OC)OC
mobley_755351,-7.29,COc1cccc(c1)N
mobley_2751110,-10.64,c1cc(ccc1[N+](=O)[O-])O
mobley_5977084,-4.77,Cc1cccnc1
mobley_5816127,-6.619999999999999,COCCO
mobley_6257907,-5.82,c1cc(cc(c1)Cl)N
mobley_1963873,-10.0,CC(=O)NC
mobley_7015518,-1.91,COC
mobley_6195751,-8.68,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O
mobley_5390332,-2.83,CCCC(=O)OC
mobley_1017962,-2.49,CCCCCC(=O)OC
mobley_5538249,-2.16,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl
mobley_9741965,-4.29,CC(CCO[N+](=O)[O-])O[N+](=O)[O-]
mobley_5616693,-2.53,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
mobley_9114381,-6.72,COC(=O)CC#N
mobley_9209581,-3.2,CN(C)C
mobley_52782,-5.73,C(CO[N+](=O)[O-])O[N+](=O)[O-]
mobley_3515580,-5.94,COc1ccccc1O
mobley_1571523,-6.16,Cc1cccc(c1C)O
mobley_2023925,0.1,[C@@H](C(F)(F)F)(OC(F)F)Cl
mobley_8785107,-2.92,C[C@H]1CC[C@@H](O1)C
mobley_2881590,-1.88,CC(C)CO[N+](=O)[O-]
mobley_313406,-4.85,CCCO
mobley_3274817,-6.23,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
mobley_9979854,-4.2,C[C@H](C(F)(F)F)O
mobley_2126135,-5.66,CCc1ccccc1O
mobley_6743808,-6.5,Cc1ccc(cc1C)O
mobley_2493732,0.25,C=C(Cl)Cl
mobley_9407874,-2.88,CCCCCCC(=O)C
mobley_7142697,-4.09,CCCCCN
mobley_8311303,-4.38,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl
mobley_49274,0.6,CCCCCC#C
mobley_4694328,-2.29,CCCCCCCC=O
mobley_7913234,-5.73,CCCCOC[C@H](C)O
mobley_2763835,-2.22,CCOc1ccccc1
mobley_951560,-7.4,C1CNCCN1
mobley_3211679,0.14,C1CCC=CC1
mobley_6359156,-2.46,c1ccc(cc1)c2cc(ccc2Cl)Cl
mobley_3234716,-0.8,Cc1ccc(cc1)C
mobley_5286200,-2.32,C(CCCl)CCl
mobley_2727678,-18.72,c1c(c(=O)[nH]c(=O)[nH]1)I
mobley_6973347,-2.94,CCOC(=O)C
mobley_9617923,-2.34,CCCCCCCCC(=O)C
mobley_6309289,-5.11,C1CCNCC1
mobley_1235151,-2.82,CCCCC[N+](=O)[O-]
mobley_2689721,1.23,C1CCCCC1
mobley_820789,-6.35,CCCC(=O)O
mobley_1838110,1.77,C(C(F)(Cl)Cl)(F)(F)Cl
mobley_3083321,-2.93,COCOC
mobley_3572203,-2.11,CCCCCOC(=O)CC
mobley_3843583,-7.28,c1ccc2c(c1)cccc2N
