Compound ID,measured log(solubility:mol/L),SMILES
"1,1,1,2-Tetrachloroethane",-2.18,ClCC(Cl)(Cl)Cl
"1,1,1-Trichloroethane",-2.0,CC(Cl)(Cl)Cl
"1,1,2,2-Tetrachloroethane",-1.74,ClC(Cl)C(Cl)Cl
"1,1,2-Trichloroethane",-1.48,ClCC(Cl)Cl
"1,1,2-Trichlorotrifluoroethane",-3.04,FC(F)(Cl)C(F)(Cl)Cl
"1,1-Dichloroethane",-1.29,CC(Cl)Cl
"1,1-Dichloroethylene",-1.64,ClC(=C)Cl
"1,1-Diethoxyethane ",-0.43,CCOC(C)OCC
"1,2,3,4-Tetrachlorobenzene",-4.57,Clc1ccc(Cl)c(Cl)c1Cl
"1,2,3,4-Tetrahydronapthalene",-4.37,C1CCc2ccccc2C1
"1,2,3,5-Tetrachlorobenzene",-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
"1,2,3-Trichlorobenzene",-4.0,Clc1cccc(Cl)c1Cl
"1,2,3-Trimethylbenzene ",-3.2,Cc1cccc(C)c1C
"1,2,4,5-Tetrabromobenzene",-6.98,Brc1cc(Br)c(Br)cc1Br
"1,2,4,5-Tetrachlorobenzene",-5.56,Clc1cc(Cl)c(Cl)cc1Cl
"1,2,4,5-Tetramethylbenzene",-4.59,Cc1cc(C)c(C)cc1C
"1,2,4-tribromobenzene",-4.5,c1(Br)c(Br)cc(Br)cc1
"1,2,4-Trichlorobenzene",-3.59,Clc1ccc(Cl)c(Cl)c1
"1,2,4-Trimethylbenzene",-3.31,Cc1ccc(C)c(C)c1
"1,2-Benzenediol",0.62,Oc1ccccc1O
"1,2-Dibromobenzene",-3.5,Brc1ccccc1Br
"1,2-Dibromoethane",-1.68,BrCCBr
"1,2-Dichlorobenzene",-3.05,Clc1ccccc1Cl
"1,2-Dichloroethane",-1.06,ClCCCl
"1,2-Dichloropropane",-1.6,CC(Cl)CCl
"1,2-Dichlorotetrafluoroethane",-2.74,FC(F)(Cl)C(F)(F)Cl
